node_id,activation_time_ms
1146,151.0112
1147,164.1477
1148,148.3607
1149,168.4440
1150,170.4620
1151,157.0222
1152,160.4704
1153,164.4301
1154,165.5065
1155,161.8719
1156,168.2282
1157,159.3634
1158,177.9958
1159,164.8110
1160,155.4099
1161,146.7328
1162,151.0277
1163,141.7640
1164,140.8715
1165,143.1230
1166,169.5541
1167,156.2176
1168,168.7694
1169,156.8158
1170,169.4224
1171,136.1155
1172,144.5676
1173,136.5290
1174,146.0798
1175,157.2609
1176,154.3218
1177,142.8549
1178,164.8982
1179,142.1581
1180,152.5678
1181,155.3770
1182,156.2979
1183,157.4533
1184,156.6391
1185,163.6300
1186,148.8527
1187,134.0730
1188,158.2893
1189,171.6776
1190,150.4377
1191,161.9291
1192,152.9328
1193,159.5044
1194,163.4879
1195,148.3173
1196,168.2771
1197,158.9570
1198,151.3508
1199,147.9855
1200,160.0240
1201,160.5819
1202,160.2063
1203,134.5064
1204,148.4107
1205,164.0872
1206,159.0903
1207,167.8049
1208,161.2129
1209,167.6135
1210,152.5795
1211,157.5496
1212,150.9277
1213,163.7665
1214,160.9555
1215,145.3717
1216,170.5217
1217,177.6643
1218,158.1565
1219,147.3731
1220,150.9509
1221,145.4331
1222,137.8618
1223,139.2194
1224,138.9995
1225,163.4189
1226,174.3203
1227,170.9865
1228,157.6496
1229,160.5876
1230,155.9110
1231,158.5310
1232,149.1960
1233,162.5263
1234,153.8704
1235,165.2485
1236,164.0977
1237,146.9944
1238,159.0129
1239,151.0640
1240,168.3601
1241,145.3887
1242,150.4041
1243,157.7987
1244,139.1551
1245,152.1584
1246,136.4787
1247,173.7550
1248,163.3258
1249,145.4761
1250,166.6102
1251,162.5951
1252,140.9257
1253,168.2511
1254,155.8422
1255,150.9443
1256,164.6256
1257,163.3302
1258,155.9325
1259,173.0778
1260,169.5529
1261,142.7639
1262,166.0391
1263,148.5074
1264,158.8902
1265,150.8894
1266,141.4410
1267,162.4636
1268,141.8921
1269,163.1174
1270,155.9834
1271,157.4568
1272,159.6152
1273,142.1021
1274,167.4976
1275,144.8921
1276,147.8162
1277,145.4516
1278,149.3672
1279,152.0459
1280,156.7138
1281,141.9058
1282,145.9479
1283,147.6182
1284,146.7667
1285,172.5140
1286,157.3841
1287,140.9385
1288,159.9595
1289,169.6169
1290,160.4785
1291,157.3627
1292,156.7079
1293,140.8894
1294,147.0134
1295,160.6870
1296,158.8488
1297,150.6102
1298,166.0076
1299,143.4256
1300,167.5430
1301,158.3585
1302,164.0169
1303,173.0489
1304,139.2990
1305,156.3741
1306,152.1183
1307,172.4394
1308,163.8084
1309,152.0626
1310,148.5196
1311,161.6184
1312,146.6946
1313,144.7197
1314,143.4405
1315,152.0667
1316,154.6689
1317,137.6267
1318,161.4582
1319,144.0060
1320,139.7582
1321,152.0172
1322,145.0088
1323,145.9281
1324,163.1692
1325,153.5190
1326,158.8199
1327,172.5404
1328,158.2679
1329,162.2693
1330,167.0128
1331,152.1782
1332,171.3761
1333,164.6511
1334,165.5981
1335,162.7439
1336,154.7862
1337,160.4521
1338,155.2892
1339,174.3580
1340,161.9839
1341,149.7787
1342,150.2483
1343,159.6347
1344,146.7800
1345,157.2248
1346,177.3361
1347,171.6753
1348,157.1419
1349,154.5051
1350,155.7159
1351,172.7425
1352,164.8779
1353,176.4893
1354,172.5907
1355,154.5657
1356,167.3160
1357,154.5429
1358,159.4068
1359,141.6624
1360,154.9031
1361,150.4073
1362,152.6500
1363,163.4023
1364,157.9119
1365,150.0974
1366,150.9279
1367,162.0416
1368,158.0680
1369,148.8108
1370,155.0104
1371,171.3546
1372,164.3931
1373,145.9045
1374,161.8199
1375,150.6787
1376,154.2954
1377,152.1155
1378,159.3313
1379,163.2372
1380,173.1554
1381,165.1385
1382,142.4336
1383,159.7296
1384,168.5905
1385,170.4731
1386,145.6813
1387,160.4185
1388,134.8165
1389,163.9878
1390,166.1823
1391,148.2678
1392,153.1969
1393,157.9824
1394,160.2407
1395,141.9321
1396,154.3398
1397,170.5777
1398,165.7312
1399,170.8375
1400,137.0821
1401,146.1382
1402,149.1652
1403,155.3550
1404,159.0428
